,_id,lastSalesDate,lastSalesAmount,maxSalesAmount,TotalRecords
28,"{'STREET_NUMBER': '457', 'STREET': 'W 57th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL COOP UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-06-13T00:00:00.000Z,297000.0,1085000.0,156
29,"{'STREET_NUMBER': '150', 'STREET': 'W 51st St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-06-09T00:00:00.000Z,888000.0,1600000.0,268
30,"{'STREET_NUMBER': '405', 'STREET': 'W 57th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL COOP UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-06-08T00:00:00.000Z,455000.0,825000.0,25
31,"{'STREET_NUMBER': '15', 'STREET': 'W 53rd St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-06-08T00:00:00.000Z,2700000.0,9250000.0,172
32,"{'STREET_NUMBER': '301', 'STREET': 'W 53rd St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-06-08T00:00:00.000Z,998000.0,231254659.0,248
33,"{'STREET_NUMBER': '150', 'STREET': 'W 56th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-06-07T00:00:00.000Z,1050000.0,6500000.0,211
34,"{'STREET_NUMBER': '205', 'STREET': 'W 57th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL COOP UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-06-07T00:00:00.000Z,999999.0,6000000.0,80
35,"{'STREET_NUMBER': '465', 'STREET': 'W 57th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL COOP UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-06-07T00:00:00.000Z,410000.0,435000.0,8
36,"{'STREET_NUMBER': '160', 'STREET': 'Central Park S', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-06-06T00:00:00.000Z,4350000.0,335131744.16,132
37,"{'STREET_NUMBER': '230', 'STREET': 'W 49th St', 'PROPERTY_TYPE': 'COMMERCIAL REAL ESTATE', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-06-06T00:00:00.000Z,308400000.0,308400000.0,1
38,"{'STREET_NUMBER': '245', 'STREET': 'W 55th St', 'PROPERTY_TYPE': 'OFFICE BUILDING', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-06-06T00:00:00.000Z,28500000.0,28500000.0,1
39,"{'STREET_NUMBER': '243', 'STREET': 'W 52nd St', 'PROPERTY_TYPE': 'COMMERCIAL REAL ESTATE', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-06-06T00:00:00.000Z,308400000.0,308400000.0,1
40,"{'STREET_NUMBER': '347', 'STREET': 'W 57th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-06-01T00:00:00.000Z,645000.0,2800000.0,130
41,"{'STREET_NUMBER': '220', 'STREET': 'Central Park S', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-06-01T00:00:00.000Z,187976884.0,239958219.15,106
42,"{'STREET_NUMBER': '730', 'STREET': '5th Ave', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-05-30T00:00:00.000Z,22145967.25,75891559.19,16
43,"{'STREET_NUMBER': '230', 'STREET': 'Central Park S', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL COOP UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-05-26T00:00:00.000Z,9799200.0,12600000.0,61
44,"{'STREET_NUMBER': '301', 'STREET': 'W 57th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-05-25T00:00:00.000Z,1680000.0,5250000.0,194
45,"{'STREET_NUMBER': '77', 'STREET': 'W 55th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-05-22T00:00:00.000Z,825000.0,1820000.0,92
46,"{'STREET_NUMBER': '20', 'STREET': 'W 53rd St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-05-22T00:00:00.000Z,5446303.08,42550000.0,59
47,"{'STREET_NUMBER': '53', 'STREET': 'W 53rd St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-05-22T00:00:00.000Z,10700000.0,29939550.0,74
48,"{'STREET_NUMBER': '116', 'STREET': 'Central Park S', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL CONDO UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-05-18T00:00:00.000Z,995000.0,4700000.0,53
49,"{'STREET_NUMBER': '333', 'STREET': 'W 57th St', 'PROPERTY_TYPE': 'SINGLE RESIDENTIAL COOP UNIT', 'ZIPCODE': '10019', 'STATE': 'NY'}",2023-05-18T00:00:00.000Z,870000.0,2570000.0,88
